"","Sample","Time","Treatment","Replicate","Acidobacteria","Actinobacteria","Armatimonadetes","BRC1","Bacteroidetes","Candidatus_Saccharibacteria","Chlamydiae","Chloroflexi","Cyanobacteria","Firmicutes","Gemmatimonadetes","Latescibacteria","Nitrospirae","Planctomycetes","Proteobacteria","Spirochaetes","Thaumarchaeota","Unassigned","Verrucomicrobia","candidate_division_WPS-1","candidate_division_WPS-2"
"1","2017.8_Control_1","2017.8","Control","1",0.196811503594872,0.24220068771491,0.000937793060331354,0,0.038824632697718,0.00256330103157237,6.25195373554236e-05,0.00112535167239762,6.25195373554236e-05,0.00243826195686152,0.00218818380743983,0.00125039074710847,0.00100031259768678,0.0446389496717724,0.290090653329164,0,0.00750234448265083,0.0369490465770553,0.126602063144733,0.00468896530165677,6.25195373554236e-05
"2","2017.8_Control_2","2017.8","Control","2",0.11816192560175,0.247077211628633,0.00087527352297593,0,0.0615192247577367,0.00287589871834948,0,0.000812753985620506,0.000125039074710847,0.00406376992810253,0.00275085964363864,0.000125039074710847,0.0010628321350422,0.0230697092841513,0.331916223819942,0,0.0116286339481088,0.0414504532666457,0.149109096592685,0.00337605501719287,0
"3","2017.8_Control_3","2017.8","Control","3",0.169177868083776,0.247514848390121,0.000625195373554236,0,0.0574554548296342,0.00300093779306033,0.000125039074710847,0.00206314473272898,0,0.00256330103157237,0.00218818380743983,0.000375117224132541,0.00112535167239762,0.0328227571115973,0.322413254141917,0,0.0271959987496093,0.0382619568615192,0.0887777430447013,0.00431384807752423,0
"4","2017.8_Control_4","2017.8","Control","4",0.194435761175367,0.22375742419506,0.000125039074710847,0,0.0442013129102844,0.0023757424195061,0,0.000937793060331354,0.000125039074710847,0.00206314473272898,0.0010628321350422,0.000250078149421694,0.000625195373554236,0.0313222882150672,0.257643013441699,0,0.00718974679587371,0.0263207252266333,0.198249452954048,0.00931541106595811,0
"5","2017.8_Control_5","2017.8","Control","5",0.213504220068771,0.186370740856517,0.000250078149421694,0.000125039074710847,0.0399499843701156,0.00306345733041576,0,0.00175054704595186,6.25195373554236e-05,0.00162550797124101,0.00181306658330728,0.000437636761487965,0.0010628321350422,0.0345107846201938,0.247014692091277,0,0.0139418568302595,0.0315098468271335,0.216130040637699,0.0068771491090966,0
"6","2017.8_Control_6","2017.8","Control","6",0.147296030009377,0.272085026570802,0.000375117224132541,0.000187558612066271,0.0497655517349171,0.00356361362925914,6.25195373554236e-05,0.00181306658330728,0,0.00181306658330728,0.00350109409190372,0.000750234448265083,0.00187558612066271,0.0243826195686152,0.309221631759923,0,0.0151922475773679,0.0473272897780555,0.116974054391997,0.00381369177868084,0
"7","2017.8_Warming_1","2017.8","Warming","1",0.165739293529227,0.306720850265707,0.000437636761487965,0,0.0500156298843388,0.00281337918099406,6.25195373554236e-05,0.00243826195686152,0,0.00281337918099406,0.00181306658330728,0.000250078149421694,0.00118787120975305,0.0330103157236636,0.307283526101905,0,0.00944045014066896,0.0368865270396998,0.0750234448265081,0.00406376992810253,0
"8","2017.8_Warming_2","2017.8","Warming","2",0.152672710221944,0.294592060018755,0.0010628321350422,0.000125039074710847,0.0470772116286339,0.00306345733041576,0,0.00312597686777118,0,0.00281337918099406,0.00206314473272898,0.000375117224132541,0.0010628321350422,0.0348859018443263,0.331541106595809,0,0.0118161925601751,0.0424507658643325,0.0671459831197248,0.00412628946545796,0
"9","2017.8_Warming_3","2017.8","Warming","3",0.114285714285714,0.332478899656141,0.000687714910909659,6.25195373554236e-05,0.0395123476086276,0.00350109409190372,6.25195373554236e-05,0.00150046889653017,0,0.00225070334479525,0.0031884964051266,0.000312597686777118,0.00181306658330728,0.0223194748358862,0.283401062832134,0,0.019631134729603,0.0576430134417003,0.113222882150672,0.00412628946545796,0
"10","2017.8_Warming_4","2017.8","Warming","4",0.13579243513598,0.305095342294465,0.000500156298843389,0,0.0519537355423569,0.00306345733041575,6.25195373554236e-05,0.00275085964363864,0,0.0031884964051266,0.00268834010628321,0.000500156298843389,0.00200062519537355,0.0276961550484526,0.328227571115972,0,0.0170678336980306,0.0494529540481399,0.0671459831197248,0.00281337918099406,0
"11","2017.8_Warming_5","2017.8","Warming","5",0.118662081900594,0.325914348233822,0.000375117224132541,0,0.055517349171616,0.00368865270396999,0,0.00143794935917474,0,0.00275085964363864,0.00268834010628321,0.000187558612066271,0.00206314473272898,0.0194435761175367,0.334166927164736,0,0.0136917786808378,0.0473272897780556,0.0692091278524538,0.00287589871834948,0
"12","2017.8_Warming_6","2017.8","Warming","6",0.176555173491715,0.260456392622693,0.000375117224132541,6.25195373554236e-05,0.0403251015942482,0.00306345733041576,0,0.00118787120975305,6.25195373554236e-05,0.00225070334479525,0.00218818380743983,0.000250078149421694,0.00137542982181932,0.0357611753673022,0.288465145357923,0,0.00944045014066896,0.043701156611441,0.129728040012504,0.00475148483901219,0
"13","2019.6_Control_1","2019.6","Control","1",0.190059393560487,0.263957486714597,0.000562675836198812,0,0.0382619568615191,0.00125039074710847,6.25195373554236e-05,0.00375117224132541,0.000125039074710847,0.00456392622694592,0.00356361362925914,0.00206314473272898,0.00368865270396999,0.0325101594248203,0.200812753985619,0,0.0258830884651454,0.0747733666770864,0.149671772428884,0.00443888715223508,0
"14","2019.6_Control_2","2019.6","Control","2",0.15436073773054,0.295154735854953,0.0013129102844639,0,0.0258205689277899,0.00187558612066271,0.000125039074710847,0.00256330103157237,6.25195373554236e-05,0.00387621131603626,0.0031884964051266,0.000812753985620506,0.00243826195686152,0.0356361362925914,0.216755236011252,0,0.0278211941231635,0.0912160050015627,0.132228821506721,0.00475148483901219,0
"15","2019.6_Control_3","2019.6","Control","3",0.207064707721162,0.26445764301344,0.0010628321350422,6.25195373554236e-05,0.0319474835886214,0.00181306658330728,0,0.00431384807752423,6.25195373554236e-05,0.00368865270396999,0.00325101594248203,0.00350109409190372,0.00350109409190372,0.0308846514535792,0.187808690215691,0,0.0345107846201938,0.0905908096280085,0.128102532041263,0.00337605501719287,0
"16","2019.6_Control_4","2019.6","Control","4",0.114910909659268,0.342356986558298,0.000625195373554236,0,0.0373241638011878,0.00125039074710847,0,0.00162550797124101,0,0.00887777430447015,0.00568927789934355,0.00137542982181932,0.00406376992810253,0.019193497968115,0.229384182557048,0,0.0416380118787121,0.102469521725539,0.0864020006251952,0.00275085964363864,6.25195373554236e-05
"17","2019.6_Control_5","2019.6","Control","5",0.230009377930602,0.191872460143794,0.00118787120975305,6.25195373554236e-05,0.0203188496405127,0.00156298843388559,6.25195373554236e-05,0.00143794935917474,0,0.00387621131603626,0.0023757424195061,0.00337605501719287,0.00306345733041575,0.0373866833385432,0.140731478587058,0,0.082213191622382,0.0767114723351043,0.197936855267271,0.0055642388246327,0.000250078149421694
"18","2019.6_Control_6","2019.6","Control","6",0.213441700531415,0.240450140668958,0.000437636761487965,0.000125039074710847,0.0303219756173804,0.0023757424195061,0,0.00200062519537355,6.25195373554236e-05,0.00506408252578931,0.0031884964051266,0.0021256642700844,0.0034385745545483,0.0337605501719287,0.176180056267583,0,0.0311972491403564,0.0797124101281648,0.171741169115348,0.00437636761487965,0
"19","2019.6_Warming_1","2019.6","Warming","1",0.257392935292278,0.243826195686151,0.000562675836198812,6.25195373554236e-05,0.0214442013129103,0.00150046889653017,0.000125039074710847,0.00231322288215067,0.000125039074710847,0.00300093779306033,0.00225070334479525,0.00306345733041576,0.00375117224132541,0.0310096905282901,0.146358236949046,0,0.0215067208502657,0.0699593623007188,0.186433260393873,0.00525164113785558,6.25195373554236e-05
"20","2019.6_Warming_2","2019.6","Warming","2",0.162675836198811,0.330915911222256,0.0013129102844639,0,0.0218193185370428,0.00162550797124101,0,0.00206314473272898,0,0.00456392622694592,0.00493904345107846,0.0045014066895905,0.0076899030947171,0.0235698655829947,0.195561112847764,6.25195373554236e-05,0.0158799624882776,0.0829634260706468,0.13360425132854,0.00625195373554236,0
"21","2019.6_Warming_3","2019.6","Warming","3",0.163676148796498,0.291841200375116,0.00087527352297593,0,0.0233823069709284,0.00125039074710847,0.000125039074710847,0.00162550797124101,6.25195373554236e-05,0.00575179743669897,0.00306345733041575,0.00168802750859644,0.00400125039074711,0.021694279462332,0.171241012816504,0,0.0230697092841513,0.0760862769615502,0.205689277899343,0.00481400437636762,6.25195373554236e-05
"22","2019.6_Warming_4","2019.6","Warming","4",0.25845576742732,0.214316974054391,0.000312597686777118,6.25195373554236e-05,0.0201312910284464,0.000562675836198812,0,0.00156298843388559,0,0.00262582056892779,0.00337605501719287,0.00368865270396999,0.00331353547983745,0.0362613316661456,0.141919349796811,0,0.0321975617380431,0.0747733666770864,0.200750234448265,0.00562675836198812,6.25195373554236e-05
"23","2019.6_Warming_5","2019.6","Warming","5",0.157674273210378,0.27389809315411,0.000187558612066271,6.25195373554236e-05,0.0218818380743983,0.00125039074710847,0,0.0010628321350422,0,0.00518912160050016,0.00250078149421694,0.000937793060331354,0.00312597686777118,0.024507658643326,0.167864957799311,0,0.0118787120975305,0.0622694592060017,0.26051891216005,0.00518912160050016,0
"24","2019.6_Warming_6","2019.6","Warming","6",0.141606752110034,0.309909346670833,0.000437636761487965,0.000125039074710847,0.0426383244763988,0.0013129102844639,0,0.00187558612066271,6.25195373554236e-05,0.005314160675211,0.00300093779306033,0.00118787120975305,0.00418880900281338,0.0200062519537355,0.252266333229132,0,0.0444513910597062,0.064395123476086,0.103532353860581,0.00368865270396999,0
